Property,Mean_Contract_Price,Semester,Year,Management_Name,Gender
Hillcrest Townhouses - Men,1325,SP,2025,Covey,M
Hillcrest Townhouses - Women,1220,WI,2022,Covey,F
Hillcrest Townhouses - Women,1370,WI,2023,Covey,F
Hillcrest Townhouses - Women,1425,WI,2024,Covey,F
Hillcrest Townhouses - Women,1400,WI,2025,Covey,F
Hillcrest Townhouses - Women,1145,SP,2022,Covey,F
Hillcrest Townhouses - Women,1325,SP,2023,Covey,F
Hillcrest Townhouses - Women,1350,SP,2024,Covey,F
Hillcrest Townhouses - Women,1350,SP,2025,Covey,F
Jordan Ridge,1349,WI,2022,Triton Investments ,M
Jordan Ridge,1499,WI,2023,Triton Investments ,M
Jordan Ridge,1499,WI,2024,Triton Investments ,M
Jordan Ridge,1799,WI,2025,Triton Investments ,M
Jordan Ridge,1349,SP,2022,Triton Investments ,M
Jordan Ridge,1499,SP,2023,Triton Investments ,M
Jordan Ridge,1499,SP,2024,Triton Investments ,M
Jordan Ridge,1799,SP,2025,Triton Investments ,M
Kensington Manor - Men,1140,WI,2022,Independent,M
Kensington Manor - Men,1140,WI,2023,Independent,M
Kensington Manor - Men,1175,WI,2024,Independent,M
Kensington Manor - Men,1175,WI,2025,Independent,M
Kensington Manor - Men,1130,SP,2022,Independent,M
Kensington Manor - Men,1140,SP,2023,Independent,M
Kensington Manor - Men,1175,SP,2024,Independent,M
Kensington Manor - Men,1175,SP,2025,Independent,M
Kensington Manor - Women,1265,WI,2022,Independent,M
Kensington Manor - Women,1265,WI,2023,Independent,M
Kensington Manor - Women,1300,WI,2024,Independent,M
Kensington Manor - Women,1300,WI,2025,Independent,M
Kensington Manor - Women,1259,SP,2022,Independent,M
Kensington Manor - Women,1300,SP,2023,Independent,M
Kensington Manor - Women,1300,SP,2024,Independent,M
Kensington Manor - Women,1300,SP,2025,Independent,M
La Jolla - Men,1179,WI,2022,Redstone,M
La Jolla - Men,1179,WI,2023,Redstone,M
La Jolla - Men,1179,WI,2024,Redstone,M
La Jolla - Men,1179,WI,2025,Redstone,M
La Jolla - Men,1179,SP,2022,Redstone,M
La Jolla - Men,1179,SP,2023,Redstone,M
La Jolla - Men,1179,SP,2024,Redstone,M
La Jolla - Men,1179,SP,2025,Redstone,M
La Jolla - Women,1179,WI,2022,Redstone,F
La Jolla - Women,1179,WI,2023,Redstone,F
La Jolla - Women,1179,WI,2024,Redstone,F
La Jolla - Women,1179,WI,2025,Redstone,F
La Jolla - Women,1179,SP,2022,Redstone,F
La Jolla - Women,1179,SP,2023,Redstone,F
La Jolla - Women,1179,SP,2024,Redstone,F
La Jolla - Women,1179,SP,2025,Redstone,F
"Landing, The - Men",1465,WI,2022,Redstone,M
"Landing, The - Men",1520,WI,2023,Redstone,M
"Landing, The - Men",1540,WI,2024,Redstone,M
"Landing, The - Men",1635,WI,2025,Redstone,M
"Landing, The - Men",1445,SP,2022,Redstone,M
"Landing, The - Men",1470,SP,2023,Redstone,M
"Landing, The - Men",1370,SP,2024,Redstone,M
"Landing, The - Men",1480,SP,2025,Redstone,M
"Landing, The - Women",1465,WI,2022,Redstone,F
"Landing, The - Women",1520,WI,2023,Redstone,F
"Landing, The - Women",1540,WI,2024,Redstone,F
"Landing, The - Women",1635,WI,2025,Redstone,F
"Landing, The - Women",1445,SP,2022,Redstone,F
"Landing, The - Women",1470,SP,2023,Redstone,F
"Landing, The - Women",1370,SP,2024,Redstone,F
"Landing, The - Women",1380,SP,2025,Redstone,F
Legacy Ridge,1424,WI,2022,Triton Investments ,F
Legacy Ridge,1574,WI,2023,Triton Investments ,F
Legacy Ridge,1574,WI,2024,Triton Investments ,F
Legacy Ridge,1799,WI,2025,Triton Investments ,F
Legacy Ridge,1424,SP,2022,Triton Investments ,F
Legacy Ridge,1574,SP,2023,Triton Investments ,F
Legacy Ridge,1574,SP,2024,Triton Investments ,F
Legacy Ridge,1649,SP,2025,Triton Investments ,F
"Lodge, The - Men",1484,WI,2022,Ball Venture,M
"Lodge, The - Men",1537,WI,2023,Ball Venture,M
"Lodge, The - Men",1537,WI,2024,Ball Venture,M
"Lodge, The - Men",1587,WI,2025,Ball Venture,M
"Lodge, The - Men",1484,SP,2022,Ball Venture,M
"Lodge, The - Men",1537,SP,2023,Ball Venture,M
"Lodge, The - Men",1287,SP,2024,Ball Venture,M
"Lodge, The - Men",1287,SP,2025,Ball Venture,M
"Lodge, The -Women",1507,WI,2022,Ball Venture,F
"Lodge, The -Women",1676,WI,2023,Ball Venture,F
"Lodge, The -Women",1676,WI,2024,Ball Venture,F
"Lodge, The -Women",1626,WI,2025,Ball Venture,F
"Lodge, The -Women",1507,SP,2022,Ball Venture,F
"Lodge, The -Women",1676,SP,2023,Ball Venture,F
"Lodge, The -Women",1326,SP,2024,Ball Venture,F
"Lodge, The -Women",1359,SP,2025,Ball Venture,F
Milano Flats -Men,1590,WI,2022,Redstone,M
Milano Flats -Men,1590,WI,2023,Redstone,M
Milano Flats -Men,1795,WI,2024,Redstone,M
Milano Flats -Men,1795,WI,2025,Redstone,M
Milano Flats -Men,1590,SP,2022,Redstone,M
Milano Flats -Men,1790,SP,2023,Redstone,M
Milano Flats -Men,1690,SP,2024,Redstone,M
Milano Flats -Men,1795,SP,2025,Redstone,M
Milano Flats -Women,1590,WI,2022,Redstone,F
Milano Flats -Women,1590,WI,2023,Redstone,F
Milano Flats -Women,1795,WI,2024,Redstone,F
Milano Flats -Women,1795,WI,2025,Redstone,F
Milano Flats -Women,1590,SP,2022,Redstone,F
Milano Flats -Women,1790,SP,2023,Redstone,F
Milano Flats -Women,1690,SP,2024,Redstone,F
Milano Flats -Women,1813,SP,2025,Redstone,F
Mountain Crest ,1045,WI,2022,Independent,M
Mountain Crest ,1120,WI,2023,Connextion,M
Mountain Crest ,1120,WI,2024,Connextion,M
Mountain Crest ,1120,WI,2025,Connextion,M
Mountain Crest ,920,SP,2022,Connextion,M
Mountain Crest ,1020,SP,2023,Connextion,M
Mountain Crest ,1120,SP,2024,Connextion,M
Mountain Crest ,945,SP,2025,Connextion,M
Nauvoo House - Men,1339,WI,2022,Redstone,M
Nauvoo House - Men,1339,WI,2023,Redstone,M
Nauvoo House - Men,1450,WI,2024,Redstone,M
Nauvoo House - Men,1435,WI,2025,Redstone,M
Nauvoo House - Men,1339,SP,2022,Redstone,M
Nauvoo House - Men,1350,SP,2023,Redstone,M
Nauvoo House - Men,1410,SP,2024,Redstone,M
Nauvoo House - Men,1390,SP,2025,Redstone,M
Nauvoo House - Women,1339,WI,2022,Redstone,F
Nauvoo House - Women,1339,WI,2023,Redstone,F
Nauvoo House - Women,1390,WI,2024,Redstone,F
Nauvoo House - Women,1435,WI,2025,Redstone,F
Nauvoo House - Women,1339,SP,2022,Redstone,F
Nauvoo House - Women,1450,SP,2023,Redstone,F
Nauvoo House - Women,1450,SP,2024,Redstone,F
Nauvoo House - Women,1390,SP,2025,Redstone,F
Northpoint - Men ,1607,WI,2022,Redstone,M
Northpoint - Men ,1607,WI,2023,Redstone,M
Northpoint - Men ,1685,WI,2024,Redstone,M
Northpoint - Men ,1685,WI,2025,Redstone,M
Northpoint - Men ,1607,SP,2022,Redstone,M
Northpoint - Men ,1607,SP,2023,Redstone,M
Northpoint - Men ,1685,SP,2024,Redstone,M
Northpoint - Men ,1685,SP,2025,Redstone,M
Northpoint - Women,1599,WI,2022,Redstone,F
Northpoint - Women,1599,WI,2023,Redstone,F
Northpoint - Women,1685,WI,2024,Redstone,F
Northpoint - Women,1668,WI,2025,Redstone,F
Northpoint - Women,1599,SP,2022,Redstone,F
Northpoint - Women,1599,SP,2023,Redstone,F
Northpoint - Women,1642,SP,2024,Redstone,F
Northpoint - Women,1668,SP,2025,Redstone,F
Park View Apts - Men,1300,WI,2022,Independent,M
Park View Apts - Men,1340,WI,2023,Independent,M
Park View Apts - Men,1380,WI,2024,Independent,M
Park View Apts - Men,1361,WI,2025,Independent,M
Park View Apts - Men,1280,SP,2022,Independent,M
Park View Apts - Men,1320,SP,2023,Independent,M
Park View Apts - Men,1372,SP,2024,Independent,M
Park View Apts - Men,1272,SP,2025,Independent,M
Park View Apts - Women,1300,WI,2022,Independent,F
Park View Apts - Women,1340,WI,2023,Independent,F
Park View Apts - Women,1380,WI,2024,Independent,F
Park View Apts - Women,1361,WI,2025,Independent,F
Park View Apts - Women,1280,SP,2022,Independent,F
Park View Apts - Women,1320,SP,2023,Independent,F
Park View Apts - Women,1372,SP,2024,Independent,F
Park View Apts - Women,1272,SP,2025,Independent,F
"Pines, The - Men",1082,WI,2022,Redstone,M
"Pines, The - Men",1094,WI,2023,Redstone,M
"Pines, The - Men",1094,WI,2024,Redstone,M
"Pines, The - Men",1094,WI,2025,Redstone,M
"Pines, The - Men",1082,SP,2022,Redstone,M
"Pines, The - Men",892,SP,2023,Redstone,M
"Pines, The - Men",1094,SP,2024,Redstone,M
"Pines, The - Men",1094,SP,2025,Redstone,M
"Pines, The -Women",1100,WI,2022,Redstone,F
"Pines, The -Women",1100,WI,2023,Redstone,F
"Pines, The -Women",1100,WI,2024,Redstone,F
"Pines, The -Women",1050,WI,2025,Redstone,F
"Pines, The -Women",1100,SP,2022,Redstone,F
"Pines, The -Women",1100,SP,2023,Redstone,F
"Pines, The -Women",1100,SP,2024,Redstone,F
"Pines, The -Women",1052,SP,2025,Redstone,F
Pinnacle Point- Men,1095,WI,2022,Hemming,M
Pinnacle Point- Men,995,WI,2023,Hemming,M
Pinnacle Point- Men,1150,WI,2024,Hemming,M
Pinnacle Point- Men,1300,WI,2025,Hemming,M
Pinnacle Point- Men,995,SP,2022,Hemming,M
Pinnacle Point- Men,1100,SP,2023,Hemming,M
Pinnacle Point- Men,1150,SP,2024,Hemming,M
Pinnacle Point- Men,1250,SP,2025,Hemming,M
Riviera Apartments - Men,1025,WI,2024,Independent,M
Riviera Apartments - Men,1025,WI,2025,Independent,M
Riviera Apartments - Men,885,SP,2024,Independent,M
Riviera Apartments - Men,885,SP,2025,Independent,M
Riviera Apartments - Women,975,WI,2022,Independent,F
Riviera Apartments - Women,975,WI,2023,Independent,F
Riviera Apartments - Women,975,WI,2024,Independent,F
Riviera Apartments - Women,975,WI,2025,Independent,F
Riviera Apartments - Women,875,SP,2022,Independent,F
Riviera Apartments - Women,875,SP,2023,Independent,F
Riviera Apartments - Women,775,SP,2024,Independent,F
Riviera Apartments - Women,875,SP,2025,Independent,F
Rockland Apartments ,1128,WI,2022,Redstone ,M
Rockland Apartments ,1128,WI,2023,Redstone ,M
Rockland Apartments ,1300,WI,2024,Redstone ,M
Rockland Apartments ,1241,WI,2025,Redstone ,M
Rockland Apartments ,1128,SP,2022,Redstone ,M
Rockland Apartments ,1128,SP,2023,Redstone ,M
Rockland Apartments ,1312,SP,2024,Redstone ,M
Rockland Apartments ,1329,SP,2025,Redstone ,M
Royal Crest,1050,WI,2022,Craigland,F
Royal Crest,995,WI,2023,Craigland,F
Royal Crest,995,WI,2024,Craigland,F
Royal Crest,1150,WI,2025,Craigland,F
Royal Crest,950,SP,2022,Craigland,F
Royal Crest,895,SP,2023,Craigland,F
Royal Crest,995,SP,2024,Craigland,F
Royal Crest,1050,SP,2025,Craigland,F
Shelbourne Apartments - Men,1235,WI,2022,Connextion,M
Shelbourne Apartments - Men,1270,WI,2023,Connextion,M
Shelbourne Apartments - Men,1345,WI,2024,Connextion,M
Shelbourne Apartments - Men,1495,WI,2025,Connextion,M
Shelbourne Apartments - Men,1235,SP,2022,Connextion,M
Shelbourne Apartments - Men,1395,SP,2023,Connextion,M
Shelbourne Apartments - Men,1395,SP,2024,Connextion,M
Shelbourne Apartments - Men,1495,SP,2025,Connextion,M
Snowview Apartments,1095,WI,2022,Independent,F
Snowview Apartments,1295,WI,2023,Independent,F
Snowview Apartments,1395,WI,2024,Independent,F
Snowview Apartments,1320,WI,2025,Independent,F
Snowview Apartments,1095,SP,2022,Independent,F
Snowview Apartments,1145,SP,2023,Independent,F
Snowview Apartments,1345,SP,2024,Independent,F
Snowview Apartments,1145,SP,2025,Independent,F
Somerset Apartments - Men,1250,WI,2022,Redstone,M
Somerset Apartments - Men,1200,WI,2023,Redstone,M
Somerset Apartments - Men,1290,WI,2024,Redstone,M
Somerset Apartments - Men,1359,WI,2025,Redstone,M
Somerset Apartments - Men,1260,SP,2022,Redstone,M
Somerset Apartments - Men,1200,SP,2023,Redstone,M
Somerset Apartments - Men,1200,SP,2024,Redstone,M
Somerset Apartments - Men,1299,SP,2025,Redstone,M
Somerset Apartments - Women,1250,WI,2022,Redstone,F
Somerset Apartments - Women,1200,WI,2023,Redstone,F
Somerset Apartments - Women,1290,WI,2024,Redstone,F
Somerset Apartments - Women,1299,WI,2025,Redstone,F
Somerset Apartments - Women,1240,SP,2022,Redstone,F
Somerset Apartments - Women,1200,SP,2023,Redstone,F
Somerset Apartments - Women,1200,SP,2024,Redstone,F
Somerset Apartments - Women,1299,SP,2025,Redstone,F
Sundance - Men,1555,WI,2022,Connextion,M
Sundance - Men,1595,WI,2023,Connextion,M
Sundance - Men,1645,WI,2024,Connextion,M
Sundance - Men,1645,WI,2025,Connextion,M
Sundance - Men,1555,SP,2022,Connextion,M
Sundance - Men,1495,SP,2023,Connextion,M
Sundance - Men,1445,SP,2024,Connextion,M
Sundance - Men,1445,SP,2025,Connextion,M
Sundance - Women,1555,WI,2022,Connextion,F
Sundance - Women,1595,WI,2023,Connextion,F
Sundance - Women,1645,WI,2024,Connextion,F
Sundance - Women,1695,WI,2025,Connextion,F
Sundance - Women,1555,SP,2022,Connextion,F
Sundance - Women,1555,SP,2023,Connextion,F
Sundance - Women,1545,SP,2024,Connextion,F
Sundance - Women,1495,SP,2025,Connextion,F
Towers I,1349,WI,2022,Connextion,M 
Towers I,1450,WI,2023,Connextion,M 
Towers I,1550,WI,2024,Connextion,M 
Towers I,1550,WI,2025,Connextion,M 
Towers I,1400,SP,2022,Connextion,M 
Towers I,1550,SP,2023,Connextion,M 
Towers I,1250,SP,2024,Connextion,M 
Towers I,1250,SP,2025,Connextion,M 
Towers II ,1445,WI,2022,Connextion,F
Towers II ,1495,WI,2023,Connextion,F
Towers II ,1645,WI,2024,Connextion,F
Towers II ,1545,WI,2025,Connextion,F
Towers II ,1470,SP,2022,Connextion,F
Towers II ,1595,SP,2023,Connextion,F
Towers II ,1199,SP,2024,Connextion,F
Towers II ,1245,SP,2025,Connextion,F
University View - Men,1300,WI,2022,Redstone,M
University View - Men,1350,WI,2023,Redstone,M
University View - Men,1350,WI,2024,Redstone,M
University View - Men,1400,WI,2025,Redstone,M
University View - Men,1350,SP,2022,Redstone,M
University View - Men,1500,SP,2023,Redstone,M
University View - Men,1350,SP,2024,Redstone,M
University View - Men,1500,SP,2025,Redstone,M
University View - Women,1300,WI,2022,Redstone,F
University View - Women,1350,WI,2023,Redstone,F
University View - Women,1350,WI,2024,Redstone,F
University View - Women,1525,WI,2025,Redstone,F
University View - Women,1350,SP,2022,Redstone,F
University View - Women,1500,SP,2023,Redstone,F
University View - Women,1350,SP,2024,Redstone,F
University View - Women,1613,SP,2025,Redstone,F
Windsor Manor - Men,1573,WI,2022,Redstone,M
Windsor Manor - Men,1699,WI,2023,Redstone,M
Windsor Manor - Men,1695,WI,2024,Redstone,M
Windsor Manor - Men,1865,WI,2025,Redstone,M
Windsor Manor - Men,1625,SP,2022,Redstone,M
Windsor Manor - Men,1565,SP,2023,Redstone,M
Windsor Manor - Men,1575,SP,2024,Redstone,M
Windsor Manor - Men,1795,SP,2025,Redstone,M
Windsor Manor - Women,1585,WI,2022,Redstone,F
Windsor Manor - Women,1699,WI,2023,Redstone,F
Windsor Manor - Women,1695,WI,2024,Redstone,F
Windsor Manor - Women,1765,WI,2025,Redstone,F
Windsor Manor - Women,1525,SP,2022,Redstone,F
Windsor Manor - Women,1565,SP,2023,Redstone,F
Windsor Manor - Women,1575,SP,2024,Redstone,F
Windsor Manor - Women,1695,SP,2025,Redstone,F
